Province/State,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Observation Date
Hainan,Mainland China,4,0,0,19.2000001,109.5999999,22-01-2020
Hainan,Mainland China,5,0,0,19.2000001,109.5999999,23-01-2020
Hainan,Mainland China,8,0,0,19.2000001,109.5999999,24-01-2020
Hainan,Mainland China,19,0,0,19.2000001,109.5999999,25-01-2020
Hainan,Mainland China,22,0,0,19.2000001,109.5999999,26-01-2020
Hainan,Mainland China,33,1,0,19.2000001,109.5999999,27-01-2020
Hainan,Mainland China,40,1,0,19.2000001,109.5999999,28-01-2020
Hainan,Mainland China,43,1,0,19.2000001,109.5999999,29-01-2020
Hainan,Mainland China,46,1,1,19.2000001,109.5999999,30-01-2020
Hainan,Mainland China,52,1,1,19.2000001,109.5999999,31-01-2020
Hainan,Mainland China,62,1,1,19.2000001,109.5999999,01-02-2020
Hainan,Mainland China,64,1,4,19.2000001,109.5999999,02-02-2020
Hainan,Mainland China,72,1,4,19.2000001,109.5999999,03-02-2020
Hainan,Mainland China,80,1,5,19.2000001,109.5999999,04-02-2020
Hainan,Mainland China,99,1,5,19.2000001,109.5999999,05-02-2020
Hainan,Mainland China,106,1,8,19.2000001,109.5999999,06-02-2020
Hainan,Mainland China,117,2,10,19.2000001,109.5999999,07-02-2020
Hainan,Mainland China,124,2,14,19.2000001,109.5999999,08-02-2020
Hainan,Mainland China,131,3,19,19.2000001,109.5999999,09-02-2020
Hainan,Mainland China,138,3,19,19.2000001,109.5999999,10-02-2020
Hainan,Mainland China,144,3,20,19.2000001,109.5999999,11-02-2020
Hainan,Mainland China,157,4,27,19.2000001,109.5999999,12-02-2020
Hainan,Mainland China,157,4,30,19.2000001,109.5999999,13-02-2020
Hainan,Mainland China,159,4,43,19.2000001,109.5999999,14-02-2020
Hainan,Mainland China,162,4,39,19.2000001,109.5999999,15-02-2020
Hainan,Mainland China,162,4,52,19.2000001,109.5999999,16-02-2020
Hainan,Mainland China,163,4,59,19.2000001,109.5999999,17-02-2020
Hainan,Mainland China,163,4,79,19.2000001,109.5999999,18-02-2020
Hainan,Mainland China,168,4,84,19.2000001,109.5999999,19-02-2020
Hainan,Mainland China,168,4,86,19.2000001,109.5999999,20-02-2020
Hainan,Mainland China,168,4,95,19.2000001,109.5999999,21-02-2020
Hainan,Mainland China,168,4,104,19.2000001,109.5999999,22-02-2020
Hainan,Mainland China,168,5,106,19.2000001,109.5999999,23-02-2020
Hainan,Mainland China,168,5,116,19.2000001,109.5999999,24-02-2020
Hainan,Mainland China,168,5,124,19.2000001,109.5999999,25-02-2020
Hainan,Mainland China,168,5,129,19.2000001,109.5999999,26-02-2020
Hainan,Mainland China,168,5,131,19.2000001,109.5999999,27-02-2020
Hainan,Mainland China,168,5,133,19.2000001,109.5999999,28-02-2020
Hainan,Mainland China,168,5,148,19.2000001,109.5999999,29-02-2020
Hainan,Mainland China,168,5,149,19.2000001,109.5999999,01-03-2020
Hainan,Mainland China,168,5,151,19.2000001,109.5999999,02-03-2020
Hainan,Mainland China,168,5,155,19.2000001,109.5999999,03-03-2020
Hainan,Mainland China,168,5,158,19.2000001,109.5999999,04-03-2020
Hainan,Mainland China,168,6,158,19.2000001,109.5999999,05-03-2020
Hainan,Mainland China,168,6,158,19.2000001,109.5999999,06-03-2020
Hainan,Mainland China,168,6,158,19.2000001,109.5999999,07-03-2020
Hainan,Mainland China,168,6,159,19.2000001,109.5999999,08-03-2020
Hainan,Mainland China,168,6,159,19.2000001,109.5999999,09-03-2020
Hainan,Mainland China,168,6,159,19.2000001,109.5999999,10-03-2020
Hainan,Mainland China,168,6,159,19.2000001,109.5999999,11-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,12-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,13-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,14-03-2020
Hainan,Mainland China,168,6,160,19.2000001,109.5999999,15-03-2020
