Province/State,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Observation Date
Beijing,Mainland China,14,0,0,39.906217,116.3912757,22-01-2020
Beijing,Mainland China,22,0,0,39.906217,116.3912757,23-01-2020
Beijing,Mainland China,36,0,1,39.906217,116.3912757,24-01-2020
Beijing,Mainland China,41,0,2,39.906217,116.3912757,25-01-2020
Beijing,Mainland China,68,0,2,39.906217,116.3912757,26-01-2020
Beijing,Mainland China,80,1,2,39.906217,116.3912757,27-01-2020
Beijing,Mainland China,91,1,4,39.906217,116.3912757,28-01-2020
Beijing,Mainland China,111,1,4,39.906217,116.3912757,29-01-2020
Beijing,Mainland China,114,1,4,39.906217,116.3912757,30-01-2020
Beijing,Mainland China,139,1,5,39.906217,116.3912757,31-01-2020
Beijing,Mainland China,168,1,9,39.906217,116.3912757,01-02-2020
Beijing,Mainland China,191,1,9,39.906217,116.3912757,02-02-2020
Beijing,Mainland China,212,1,12,39.906217,116.3912757,03-02-2020
Beijing,Mainland China,228,1,23,39.906217,116.3912757,04-02-2020
Beijing,Mainland China,253,1,24,39.906217,116.3912757,05-02-2020
Beijing,Mainland China,274,1,31,39.906217,116.3912757,06-02-2020
Beijing,Mainland China,297,1,33,39.906217,116.3912757,07-02-2020
Beijing,Mainland China,315,2,34,39.906217,116.3912757,08-02-2020
Beijing,Mainland China,326,2,37,39.906217,116.3912757,09-02-2020
Beijing,Mainland China,337,2,44,39.906217,116.3912757,10-02-2020
Beijing,Mainland China,342,3,48,39.906217,116.3912757,11-02-2020
Beijing,Mainland China,352,3,56,39.906217,116.3912757,12-02-2020
Beijing,Mainland China,366,3,69,39.906217,116.3912757,13-02-2020
Beijing,Mainland China,372,3,80,39.906217,116.3912757,14-02-2020
Beijing,Mainland China,375,4,98,39.906217,116.3912757,15-02-2020
Beijing,Mainland China,380,4,108,39.906217,116.3912757,16-02-2020
Beijing,Mainland China,381,4,114,39.906217,116.3912757,17-02-2020
Beijing,Mainland China,387,4,122,39.906217,116.3912757,18-02-2020
Beijing,Mainland China,393,4,145,39.906217,116.3912757,19-02-2020
Beijing,Mainland China,395,4,153,39.906217,116.3912757,20-02-2020
Beijing,Mainland China,396,4,169,39.906217,116.3912757,21-02-2020
Beijing,Mainland China,399,4,178,39.906217,116.3912757,22-02-2020
Beijing,Mainland China,399,4,189,39.906217,116.3912757,23-02-2020
Beijing,Mainland China,399,4,198,39.906217,116.3912757,24-02-2020
Beijing,Mainland China,400,4,215,39.906217,116.3912757,25-02-2020
Beijing,Mainland China,400,4,235,39.906217,116.3912757,26-02-2020
Beijing,Mainland China,410,5,248,39.906217,116.3912757,27-02-2020
Beijing,Mainland China,410,7,257,39.906217,116.3912757,28-02-2020
Beijing,Mainland China,411,8,271,39.906217,116.3912757,29-02-2020
Beijing,Mainland China,413,8,276,39.906217,116.3912757,01-03-2020
Beijing,Mainland China,414,8,282,39.906217,116.3912757,02-03-2020
Beijing,Mainland China,414,8,288,39.906217,116.3912757,03-03-2020
Beijing,Mainland China,418,8,297,39.906217,116.3912757,04-03-2020
Beijing,Mainland China,418,8,297,39.906217,116.3912757,05-03-2020
Beijing,Mainland China,422,8,299,39.906217,116.3912757,06-03-2020
Beijing,Mainland China,426,8,303,39.906217,116.3912757,07-03-2020
Beijing,Mainland China,428,8,308,39.906217,116.3912757,08-03-2020
Beijing,Mainland China,428,8,315,39.906217,116.3912757,09-03-2020
Beijing,Mainland China,429,8,320,39.906217,116.3912757,10-03-2020
Beijing,Mainland China,435,8,326,39.906217,116.3912757,11-03-2020
Beijing,Mainland China,435,8,334,39.906217,116.3912757,12-03-2020
Beijing,Mainland China,436,8,342,39.906217,116.3912757,13-03-2020
Beijing,Mainland China,437,8,349,39.906217,116.3912757,14-03-2020
Beijing,Mainland China,442,8,353,39.906217,116.3912757,15-03-2020
